categoria,canal,region,segmento_cliente,compras_previas,meses_cliente,descuento_aplicado,productos_distintos,ticket_promedio_soles
Belleza,Tienda física,Arequipa,Básico,40,27,17.8,10,471.83
Electrónica,Online,Trujillo,Básico,36,27,11.3,8,523.38
Ropa y Moda,Online,Piura,Básico,43,79,3.2,14,671.77
Deportes,Tienda física,Cusco,Gold,37,72,35.1,12,883.23
Deportes,Online,Arequipa,Básico,15,7,29.2,3,150.04
Deportes,Online,Trujillo,Básico,28,63,12.1,1,343.84
Belleza,Online,Arequipa,Platinum,18,46,24.0,5,704.86
Ropa y Moda,Online,Piura,Platinum,34,63,8.1,2,918.97
Belleza,Online,Arequipa,Básico,22,12,35.6,11,263.94
Belleza,Tienda física,Lima,Platinum,11,13,4.6,4,680.52
Ropa y Moda,Online,Trujillo,Platinum,13,43,0.2,1,746.1
Ropa y Moda,Online,Arequipa,Básico,4,17,20.1,9,221.66
Ropa y Moda,Online,Piura,Gold,22,63,23.3,6,581.8
Ropa y Moda,Online,Piura,Básico,7,81,23.2,8,344.53
Deportes,Tienda física,Arequipa,Platinum,43,36,2.2,11,1255.77
Hogar y Deco,Tienda física,Piura,Gold,24,8,12.6,4,786.71
Hogar y Deco,Tienda física,Cusco,Silver,4,69,20.0,9,579.71
Ropa y Moda,Tienda física,Cusco,Gold,28,80,8.7,2,634.95
Hogar y Deco,Online,Cusco,Platinum,15,36,34.9,9,1225.45
Hogar y Deco,Tienda física,Lima,Gold,1,28,3.5,12,826.66
Ropa y Moda,Online,Arequipa,Básico,3,47,19.5,5,165.51
Hogar y Deco,Online,Lima,Silver,14,76,27.7,13,624.45
Belleza,Online,Piura,Silver,38,30,10.5,6,467.5
Electrónica,Online,Lima,Silver,1,23,25.0,3,463.05
Electrónica,Online,Piura,Platinum,38,16,33.2,4,1591.75
Ropa y Moda,Tienda física,Piura,Platinum,38,14,7.6,6,917.38
Deportes,Tienda física,Trujillo,Silver,21,74,36.7,7,471.15
Ropa y Moda,Tienda física,Cusco,Gold,48,71,22.1,1,705.61
Deportes,Tienda física,Piura,Silver,29,52,12.0,7,616.53
Electrónica,Online,Trujillo,Gold,5,37,17.2,1,865.51
Ropa y Moda,Tienda física,Cusco,Gold,49,29,12.5,5,712.11
Belleza,Online,Piura,Platinum,10,67,29.0,6,727.35
Hogar y Deco,Tienda física,Piura,Gold,28,15,31.9,13,826.36
Deportes,Online,Lima,Silver,21,47,33.3,2,361.35
Hogar y Deco,Online,Lima,Platinum,7,46,39.4,13,1219.36
Hogar y Deco,Tienda física,Cusco,Básico,3,52,31.7,10,349.89
Ropa y Moda,Online,Piura,Básico,45,19,24.1,9,346.89
Hogar y Deco,Online,Arequipa,Platinum,47,77,13.6,14,1604.86
Belleza,Tienda física,Lima,Silver,20,21,21.8,10,395.31
Hogar y Deco,Online,Cusco,Básico,19,64,1.6,6,482.87
Ropa y Moda,Tienda física,Piura,Básico,35,37,29.8,7,395.04
Belleza,Tienda física,Piura,Gold,4,27,17.8,14,511.38
Electrónica,Tienda física,Arequipa,Gold,5,55,0.8,10,1106.92
Hogar y Deco,Online,Cusco,Silver,1,29,2.5,8,491.91
Ropa y Moda,Online,Piura,Platinum,4,20,15.5,11,793.1
Electrónica,Online,Lima,Silver,12,25,23.3,13,666.56
Electrónica,Tienda física,Arequipa,Platinum,27,70,18.6,10,1922.86
Deportes,Online,Cusco,Básico,42,63,24.8,1,372.57
Belleza,Tienda física,Arequipa,Gold,23,36,19.2,14,653.11
Hogar y Deco,Tienda física,Lima,Silver,25,2,26.5,8,518.35
Ropa y Moda,Online,Cusco,Silver,21,22,8.8,4,341.63
Deportes,Tienda física,Arequipa,Platinum,24,16,4.5,10,1097.76
Belleza,Online,Trujillo,Platinum,25,18,23.9,8,702.3
Deportes,Online,Lima,Silver,45,69,19.4,13,764.63
Belleza,Online,Lima,Platinum,46,54,1.1,6,931.4
Belleza,Online,Lima,Silver,32,30,15.2,11,489.5
Hogar y Deco,Online,Trujillo,Silver,32,45,4.2,9,678.21
Belleza,Tienda física,Trujillo,Silver,5,19,21.3,11,294.96
Deportes,Tienda física,Piura,Básico,36,34,15.8,4,357.14
Belleza,Tienda física,Arequipa,Platinum,46,13,24.5,2,818.17
Hogar y Deco,Online,Piura,Gold,42,43,32.2,14,935.77
Hogar y Deco,Online,Arequipa,Gold,49,62,12.0,2,900.95
Deportes,Online,Trujillo,Platinum,42,22,38.5,5,927.99
Electrónica,Tienda física,Trujillo,Silver,39,52,21.4,10,865.82
Electrónica,Online,Piura,Gold,16,52,24.7,9,1057.87
Belleza,Tienda física,Cusco,Gold,33,36,27.2,12,641.88
Ropa y Moda,Tienda física,Piura,Platinum,49,73,26.7,3,1002.09
Belleza,Online,Arequipa,Gold,21,19,20.4,8,459.45
Deportes,Online,Piura,Silver,9,38,17.2,4,354.19
Deportes,Tienda física,Lima,Platinum,6,70,2.2,6,1111.26
Deportes,Online,Arequipa,Silver,45,79,0.9,10,773.03
Deportes,Tienda física,Arequipa,Gold,35,57,14.3,6,837.41
Deportes,Online,Cusco,Gold,39,20,13.3,3,675.11
Hogar y Deco,Online,Trujillo,Silver,22,9,15.5,14,600.87
Electrónica,Tienda física,Arequipa,Básico,41,32,5.5,5,545.6
Deportes,Online,Trujillo,Gold,5,4,29.5,12,558.84
Ropa y Moda,Tienda física,Piura,Básico,42,50,34.3,3,349.57
Ropa y Moda,Online,Lima,Gold,23,82,37.5,11,679.62
Ropa y Moda,Tienda física,Cusco,Básico,17,5,19.7,11,336.92
Ropa y Moda,Tienda física,Trujillo,Básico,12,20,28.0,1,111.39
Hogar y Deco,Online,Arequipa,Básico,23,75,34.2,7,421.61
Ropa y Moda,Tienda física,Trujillo,Silver,16,37,16.7,4,382.53
Deportes,Online,Arequipa,Básico,3,22,12.4,14,351.42
Belleza,Online,Trujillo,Básico,30,58,37.5,7,354.06
Ropa y Moda,Online,Arequipa,Básico,22,68,20.6,3,280.92
Hogar y Deco,Tienda física,Piura,Gold,9,44,19.9,12,841.13
Hogar y Deco,Tienda física,Arequipa,Básico,29,34,7.1,11,503.89
Ropa y Moda,Online,Arequipa,Gold,47,77,4.3,5,802.05
Belleza,Online,Lima,Básico,37,42,33.7,5,288.69
Ropa y Moda,Tienda física,Arequipa,Básico,23,9,24.6,13,379.43
Hogar y Deco,Online,Lima,Silver,13,7,13.0,2,399.19
Electrónica,Online,Cusco,Gold,32,68,7.7,11,1239.28
Deportes,Tienda física,Lima,Básico,46,19,22.2,10,446.18
Hogar y Deco,Online,Piura,Gold,47,31,23.4,12,966.1
Ropa y Moda,Tienda física,Lima,Gold,48,35,8.3,2,670.91
Deportes,Online,Cusco,Platinum,23,57,34.1,4,941.1
Ropa y Moda,Tienda física,Piura,Silver,45,61,3.4,4,608.04
Ropa y Moda,Online,Trujillo,Silver,17,31,14.2,4,333.43
Electrónica,Online,Trujillo,Silver,40,83,27.2,6,818.81
Deportes,Tienda física,Lima,Platinum,21,53,11.0,2,1061.35
Deportes,Online,Lima,Platinum,2,32,33.1,6,776.81
Electrónica,Tienda física,Cusco,Silver,37,66,29.6,7,855.43
Hogar y Deco,Online,Cusco,Platinum,6,59,31.6,11,1272.81
Ropa y Moda,Tienda física,Arequipa,Platinum,44,10,4.8,10,990.9
Belleza,Tienda física,Cusco,Platinum,18,2,5.6,3,701.97
Ropa y Moda,Tienda física,Arequipa,Silver,30,66,11.5,11,635.61
Ropa y Moda,Tienda física,Piura,Silver,22,60,20.7,12,514.28
Hogar y Deco,Online,Lima,Silver,33,17,29.9,8,543.4
Ropa y Moda,Online,Piura,Platinum,30,16,33.5,2,683.91
Electrónica,Tienda física,Cusco,Silver,17,16,28.2,11,656.02
Electrónica,Tienda física,Piura,Platinum,43,46,37.1,8,1902.36
Deportes,Tienda física,Piura,Básico,32,39,29.5,13,445.89
Belleza,Online,Piura,Platinum,42,31,12.3,11,957.88
Ropa y Moda,Online,Cusco,Gold,14,1,10.6,5,405.36
Ropa y Moda,Online,Piura,Silver,10,11,27.8,2,209.57
Hogar y Deco,Online,Arequipa,Silver,47,4,7.7,7,600.3
Electrónica,Tienda física,Cusco,Gold,36,71,3.7,14,1370.76
Belleza,Tienda física,Piura,Platinum,34,26,21.3,2,762.71
Deportes,Tienda física,Cusco,Básico,9,50,32.9,14,364.26
Electrónica,Online,Trujillo,Gold,42,12,4.1,6,1071.12
Deportes,Online,Arequipa,Gold,28,81,31.7,10,746.02
Hogar y Deco,Online,Piura,Platinum,11,75,32.5,3,1203.93
Hogar y Deco,Tienda física,Trujillo,Silver,14,65,19.3,9,649.68
Ropa y Moda,Tienda física,Trujillo,Platinum,39,47,2.3,3,967.34
Belleza,Online,Cusco,Gold,47,53,7.0,11,745.23
Deportes,Tienda física,Trujillo,Gold,19,71,28.3,12,821.83
Electrónica,Online,Arequipa,Silver,15,2,28.5,12,579.44
Hogar y Deco,Online,Arequipa,Silver,28,24,35.9,3,400.92
Ropa y Moda,Tienda física,Lima,Silver,24,4,23.3,5,274.63
Ropa y Moda,Online,Arequipa,Platinum,8,19,5.0,7,743.6
Deportes,Tienda física,Trujillo,Silver,43,26,4.9,14,713.41
Hogar y Deco,Online,Arequipa,Gold,9,75,28.8,8,807.85
Belleza,Tienda física,Cusco,Gold,47,40,7.4,12,803.29
Hogar y Deco,Tienda física,Lima,Básico,33,50,13.1,11,559.34
Deportes,Tienda física,Trujillo,Platinum,33,43,19.5,7,1118.7
Deportes,Online,Lima,Básico,19,75,1.0,9,514.78
Hogar y Deco,Online,Trujillo,Gold,3,67,10.0,5,794.33
Deportes,Tienda física,Cusco,Básico,10,12,16.3,10,311.05
Hogar y Deco,Tienda física,Lima,Gold,40,67,11.2,11,1072.24
Electrónica,Online,Piura,Básico,47,27,5.5,3,538.73
Hogar y Deco,Online,Trujillo,Silver,42,54,29.1,6,629.27
Hogar y Deco,Online,Piura,Básico,1,66,32.5,5,227.14
Deportes,Tienda física,Lima,Silver,29,49,10.3,12,625.0
Deportes,Online,Piura,Silver,34,16,31.0,4,387.72
Ropa y Moda,Online,Piura,Platinum,13,2,15.4,12,776.59
Ropa y Moda,Tienda física,Lima,Silver,1,60,20.3,2,338.89
Electrónica,Online,Cusco,Silver,34,54,34.2,7,694.51
Ropa y Moda,Online,Piura,Básico,29,30,30.0,13,424.89
Hogar y Deco,Online,Piura,Gold,48,38,32.2,5,843.83
Deportes,Tienda física,Cusco,Platinum,47,28,5.5,4,1114.82
Ropa y Moda,Tienda física,Piura,Silver,13,25,2.8,12,467.81
Ropa y Moda,Tienda física,Piura,Platinum,48,10,35.7,14,1029.24
Electrónica,Tienda física,Piura,Básico,49,60,15.5,8,671.33
Electrónica,Tienda física,Arequipa,Silver,29,42,11.5,9,820.91
Hogar y Deco,Tienda física,Cusco,Básico,39,40,29.0,9,516.35
Deportes,Tienda física,Piura,Platinum,24,77,33.5,3,1020.88
Electrónica,Online,Cusco,Básico,26,42,34.5,3,325.16
Ropa y Moda,Online,Trujillo,Platinum,17,47,12.6,5,736.32
Deportes,Tienda física,Trujillo,Básico,7,37,34.1,5,214.55
Deportes,Online,Piura,Platinum,13,80,1.6,10,1135.59
Ropa y Moda,Online,Cusco,Gold,5,22,2.0,2,418.14
Electrónica,Tienda física,Cusco,Básico,26,57,24.9,1,373.01
Ropa y Moda,Online,Cusco,Básico,49,27,2.5,8,459.57
Deportes,Online,Arequipa,Gold,3,41,13.0,3,468.66
Belleza,Online,Trujillo,Gold,7,80,26.9,1,386.51
Belleza,Online,Cusco,Básico,49,34,13.5,1,406.63
Hogar y Deco,Online,Cusco,Gold,39,32,7.2,11,984.93
Ropa y Moda,Tienda física,Arequipa,Silver,1,66,11.3,2,316.46
Ropa y Moda,Tienda física,Arequipa,Platinum,49,12,18.3,6,950.74
Hogar y Deco,Tienda física,Cusco,Platinum,17,40,19.0,6,1320.49
Hogar y Deco,Online,Lima,Platinum,43,73,31.3,14,1524.91
Hogar y Deco,Tienda física,Cusco,Silver,25,76,30.0,3,553.33
Deportes,Online,Cusco,Gold,3,73,18.3,12,706.21
Ropa y Moda,Online,Arequipa,Gold,15,10,33.8,4,336.89
Deportes,Online,Arequipa,Básico,29,48,4.6,12,536.38
Hogar y Deco,Online,Cusco,Gold,43,20,10.2,13,965.45
Ropa y Moda,Tienda física,Cusco,Básico,32,39,33.1,2,239.88
Deportes,Tienda física,Cusco,Silver,26,60,15.1,2,530.35
Deportes,Online,Arequipa,Platinum,16,66,39.2,7,950.56
Hogar y Deco,Tienda física,Cusco,Platinum,25,65,18.7,13,1529.63
Ropa y Moda,Online,Cusco,Platinum,28,51,31.7,1,758.45
Hogar y Deco,Tienda física,Piura,Gold,9,36,16.1,7,748.81
Ropa y Moda,Tienda física,Lima,Básico,1,24,17.0,14,324.58
Belleza,Online,Trujillo,Básico,29,27,15.3,12,404.94
Electrónica,Tienda física,Lima,Silver,22,2,28.8,14,726.95
Electrónica,Online,Piura,Gold,16,31,21.9,12,981.71
Electrónica,Tienda física,Trujillo,Silver,41,57,37.8,14,888.81
Hogar y Deco,Online,Cusco,Básico,44,78,10.0,1,513.4
Belleza,Online,Piura,Básico,41,66,4.0,14,643.49
Ropa y Moda,Tienda física,Cusco,Platinum,7,29,15.7,6,785.55
Deportes,Tienda física,Arequipa,Gold,14,15,24.7,3,499.82
Ropa y Moda,Online,Piura,Básico,29,12,34.4,8,273.21
Deportes,Tienda física,Arequipa,Platinum,19,28,13.8,6,1055.09
Ropa y Moda,Tienda física,Piura,Gold,19,24,26.2,11,564.13
Belleza,Online,Piura,Silver,2,21,14.0,2,187.25
Deportes,Online,Arequipa,Gold,41,10,24.7,8,625.62
Hogar y Deco,Tienda física,Trujillo,Gold,45,78,35.4,5,960.91
Ropa y Moda,Online,Lima,Básico,15,18,9.3,8,239.62
Ropa y Moda,Online,Cusco,Básico,3,14,16.2,8,188.02
Deportes,Online,Piura,Gold,11,34,39.7,6,515.34
Hogar y Deco,Tienda física,Cusco,Básico,46,58,34.7,2,381.51
Hogar y Deco,Tienda física,Arequipa,Básico,30,76,22.6,8,547.64
Belleza,Online,Cusco,Básico,40,22,20.7,11,415.28
Hogar y Deco,Tienda física,Arequipa,Platinum,18,70,11.4,6,1428.63
Hogar y Deco,Online,Cusco,Platinum,48,36,20.7,6,1364.51
Hogar y Deco,Tienda física,Lima,Gold,2,45,33.9,8,681.69
Electrónica,Online,Lima,Básico,32,36,27.4,1,342.46
Belleza,Online,Lima,Platinum,8,22,11.6,2,647.27
Ropa y Moda,Tienda física,Lima,Gold,22,78,8.1,12,741.82
Deportes,Online,Lima,Básico,6,80,10.6,12,405.4
Ropa y Moda,Tienda física,Lima,Silver,12,61,6.8,9,496.98
Belleza,Tienda física,Arequipa,Básico,47,56,3.8,11,588.6
Deportes,Online,Piura,Básico,40,33,16.8,12,496.04
Belleza,Online,Cusco,Platinum,36,45,4.5,8,901.01
Hogar y Deco,Tienda física,Lima,Gold,15,36,6.9,12,933.19
Deportes,Online,Arequipa,Gold,28,20,21.9,7,605.25
Hogar y Deco,Online,Arequipa,Platinum,49,18,6.6,7,1408.05
Ropa y Moda,Online,Arequipa,Básico,45,38,2.6,5,482.48
Ropa y Moda,Online,Piura,Silver,18,67,12.7,2,371.06
Deportes,Online,Cusco,Básico,2,23,8.8,11,237.13
Deportes,Tienda física,Piura,Básico,13,16,20.6,6,253.27
Belleza,Tienda física,Trujillo,Silver,45,59,4.1,10,727.88
Belleza,Online,Arequipa,Platinum,15,69,30.1,3,687.5
Hogar y Deco,Online,Trujillo,Gold,20,68,36.2,4,746.68
Deportes,Online,Lima,Platinum,29,21,29.7,13,1031.32
Ropa y Moda,Tienda física,Lima,Platinum,42,78,21.3,10,1135.83
Belleza,Online,Piura,Básico,29,78,34.4,12,454.33
Belleza,Tienda física,Cusco,Gold,3,70,27.8,11,539.17
Ropa y Moda,Tienda física,Trujillo,Gold,19,12,0.4,2,511.46
Belleza,Tienda física,Cusco,Platinum,3,16,15.8,14,765.23
Hogar y Deco,Online,Piura,Silver,14,81,34.0,2,443.06
Deportes,Tienda física,Lima,Platinum,40,14,13.8,12,1215.57
Ropa y Moda,Online,Cusco,Silver,4,61,1.4,8,420.74
Deportes,Tienda física,Cusco,Gold,11,71,29.8,8,646.19
Belleza,Online,Lima,Platinum,31,46,32.1,10,873.85
Belleza,Tienda física,Trujillo,Básico,43,32,6.4,6,432.02
Ropa y Moda,Online,Lima,Platinum,32,15,21.5,13,908.63
Hogar y Deco,Tienda física,Cusco,Gold,27,44,7.7,5,889.54
Electrónica,Online,Trujillo,Básico,30,17,28.8,8,390.36
Ropa y Moda,Online,Trujillo,Básico,43,41,10.9,4,429.26
Electrónica,Online,Lima,Silver,2,54,12.6,11,684.95
Electrónica,Online,Cusco,Básico,49,44,33.8,4,475.94
Hogar y Deco,Tienda física,Piura,Básico,9,5,19.1,5,235.27
Electrónica,Tienda física,Cusco,Platinum,28,27,26.8,1,1696.39
Electrónica,Online,Arequipa,Gold,31,78,16.1,1,1022.49
Hogar y Deco,Tienda física,Piura,Silver,34,79,11.9,2,645.81
Electrónica,Online,Trujillo,Platinum,15,43,25.0,14,1732.49
Electrónica,Online,Piura,Básico,48,31,6.2,8,595.93
Electrónica,Tienda física,Trujillo,Básico,25,17,14.9,7,471.99
Ropa y Moda,Online,Trujillo,Silver,36,83,8.4,10,655.51
Ropa y Moda,Online,Piura,Gold,8,54,27.8,9,488.09
Ropa y Moda,Tienda física,Trujillo,Silver,9,62,37.8,5,327.86
Hogar y Deco,Online,Trujillo,Platinum,37,32,39.8,2,1159.8
Belleza,Online,Arequipa,Silver,48,40,18.0,7,534.56
Electrónica,Online,Cusco,Básico,45,13,10.1,8,547.97
Electrónica,Online,Cusco,Platinum,39,35,17.7,12,1831.28
Hogar y Deco,Tienda física,Arequipa,Básico,32,5,33.9,7,360.61
Electrónica,Tienda física,Piura,Gold,17,73,8.2,14,1331.09
Ropa y Moda,Tienda física,Lima,Básico,35,29,38.1,7,330.63
Belleza,Online,Lima,Básico,37,70,13.7,12,574.88
Deportes,Online,Lima,Silver,19,25,39.4,14,524.95
Electrónica,Tienda física,Arequipa,Básico,44,22,33.5,5,430.86
Ropa y Moda,Online,Arequipa,Platinum,29,66,32.3,2,792.4
Deportes,Online,Trujillo,Platinum,7,45,12.7,6,910.53
Belleza,Online,Lima,Gold,28,69,0.4,4,644.08
Deportes,Online,Piura,Platinum,9,72,15.3,10,1048.41
Ropa y Moda,Tienda física,Piura,Silver,28,1,12.1,2,308.81
Deportes,Tienda física,Lima,Gold,6,44,1.5,12,736.04
Hogar y Deco,Tienda física,Lima,Platinum,29,75,20.2,9,1540.81
Deportes,Online,Lima,Silver,17,39,16.1,7,415.03
Electrónica,Tienda física,Arequipa,Platinum,16,54,25.4,6,1762.98
Electrónica,Tienda física,Arequipa,Platinum,23,75,24.8,12,1931.39
Hogar y Deco,Online,Arequipa,Básico,31,29,4.8,5,427.09
Ropa y Moda,Online,Cusco,Platinum,3,54,39.1,3,653.87
Electrónica,Tienda física,Piura,Platinum,21,16,7.5,12,1824.38
Belleza,Tienda física,Piura,Silver,26,20,17.8,10,444.45
Electrónica,Tienda física,Trujillo,Silver,36,46,19.5,10,822.67
Electrónica,Tienda física,Arequipa,Básico,42,67,32.5,4,553.42
Ropa y Moda,Online,Cusco,Platinum,37,65,4.0,3,925.67
Deportes,Tienda física,Cusco,Básico,22,58,17.1,12,475.51
Electrónica,Tienda física,Piura,Platinum,42,53,25.1,11,1991.73
Hogar y Deco,Online,Arequipa,Gold,12,1,8.6,8,733.13
Deportes,Tienda física,Trujillo,Gold,42,81,25.1,3,843.71
Belleza,Online,Arequipa,Básico,13,66,36.9,7,236.7
Ropa y Moda,Online,Lima,Básico,11,29,39.9,7,151.59
Belleza,Online,Arequipa,Básico,16,70,1.3,7,407.61
Deportes,Tienda física,Lima,Silver,8,8,9.4,13,449.48
Deportes,Tienda física,Lima,Silver,40,29,12.4,7,604.46
Deportes,Online,Trujillo,Silver,40,51,16.0,14,725.26
Belleza,Tienda física,Piura,Básico,45,33,9.7,2,365.2
Deportes,Tienda física,Arequipa,Platinum,2,3,8.1,10,941.38
Belleza,Online,Lima,Gold,30,60,38.2,3,475.37
Deportes,Online,Arequipa,Básico,30,35,36.7,10,367.0
Hogar y Deco,Tienda física,Piura,Silver,12,69,1.9,9,684.54
Deportes,Online,Piura,Silver,10,76,13.6,3,380.57
Belleza,Tienda física,Cusco,Básico,44,20,16.2,2,301.98
Electrónica,Tienda física,Piura,Básico,11,73,9.6,9,515.76
Deportes,Tienda física,Trujillo,Silver,15,39,25.2,13,502.7
Electrónica,Tienda física,Lima,Platinum,16,4,25.6,10,1665.58
Hogar y Deco,Online,Cusco,Silver,17,19,34.0,9,418.43
Ropa y Moda,Online,Trujillo,Silver,26,45,29.6,4,336.2
Hogar y Deco,Online,Arequipa,Básico,2,43,21.7,14,377.34
Deportes,Online,Lima,Platinum,12,13,26.1,12,918.75
Electrónica,Tienda física,Piura,Silver,26,13,11.0,9,720.24
Electrónica,Tienda física,Lima,Silver,23,60,23.7,3,709.47
Belleza,Online,Arequipa,Gold,18,57,19.6,7,551.14
Electrónica,Tienda física,Cusco,Básico,32,52,5.3,7,577.81
Belleza,Tienda física,Cusco,Gold,49,53,9.7,11,806.43
Ropa y Moda,Tienda física,Cusco,Gold,38,43,11.7,8,686.31
Deportes,Online,Piura,Silver,47,83,37.0,10,657.96
Belleza,Online,Trujillo,Básico,3,72,9.2,4,223.94
Ropa y Moda,Online,Trujillo,Platinum,38,72,11.6,3,921.66
Electrónica,Tienda física,Lima,Silver,3,42,14.8,3,595.14
Electrónica,Online,Piura,Platinum,30,26,26.5,12,1767.15
Ropa y Moda,Online,Cusco,Platinum,1,23,4.7,5,677.72
Electrónica,Online,Cusco,Básico,30,43,38.2,11,495.3
Ropa y Moda,Online,Arequipa,Gold,45,77,34.6,14,730.97
Belleza,Online,Arequipa,Básico,32,28,23.1,1,226.2
Belleza,Online,Cusco,Platinum,28,9,27.0,10,732.51
Ropa y Moda,Tienda física,Cusco,Silver,21,20,0.7,3,420.41
Belleza,Tienda física,Piura,Platinum,46,56,13.6,14,1101.59
Belleza,Online,Trujillo,Silver,13,83,31.8,6,399.49
Belleza,Online,Arequipa,Silver,27,39,3.1,3,422.65
Hogar y Deco,Tienda física,Trujillo,Básico,36,51,11.3,5,486.63
Deportes,Tienda física,Piura,Platinum,7,12,23.4,9,981.33
Electrónica,Online,Cusco,Gold,22,79,10.3,2,980.87
Hogar y Deco,Online,Trujillo,Platinum,10,55,37.4,11,1246.34
